cluster_number,cluster_id,cluster_name,product_group,products,link,image
8,6,"NBA, WWE & Celebrity TV Hosts",WWE Superstar Gear,"Randy Orton ""RKO"" Apparel",https://shop.wwe.com/en/randy-orton/t-8999536371+z-7898-20994281,https://images.footballfanatics.com/mens-black-randy-orton-and-kevin-owens-r-ko-duct-tape-t-shirt_ss5_p-201639184+u-4nexozpcfb4dfy3tlsge+v-70tk4a7gntxpbzqkgta3.jpg?_hv=2&w=340
8,6,"NBA, WWE & Celebrity TV Hosts",WWE Superstar Gear,UFC Fight Gloves,https://www.ufcstore.com/en/?_ref=p-HP%3Am-SEARCH&query=UFC+Fight+Gloves,https://images.footballfanatics.com/ufc-merchandise/gold-ufc-official-5eight-champion-fight-glove_ss5_p-201346521+u-eeqcztfh25rvd9i7g7pz+v-r8drty9yl2wtwvdfawqh.jpg?_hv=2&w=340
8,6,"NBA, WWE & Celebrity TV Hosts",WWE Superstar Gear,Fantasy WWE Action Figures,https://shop.mattel.com/collections/wwe,"https://images.mattel.net/image/upload/w_360,c_scale/shop-us-prod/files/hj5xouxwd3f8rd5x5cp2.png?v=1717529306"
8,6,"NBA, WWE & Celebrity TV Hosts",Celebrity TV Host Products,Steve Harvey Motivational Book Collection,https://www.harpercollins.com/collections/books-by-steve-harvey-10123,https://cdn.shopify.com/s/files/1/0285/2821/4050/files/9780062220332_medium.jpg?v=1725748353
8,6,"NBA, WWE & Celebrity TV Hosts",Celebrity TV Host Products,Gordon Ramsay Cookware Set,https://www.royaldoulton.com/en-qa/collections/a-to-z/gordon-ramsay?srsltid=AfmBOooXgV0aTKaaejbA6xWr6CfRxl08bHWJTAVsP6OdrxGIaRvQIsZS#aq=%40categories%20%3D%3D%20(%22GR%20bread%20street%20dark%20red%22%2C%22GR%20bread%20street%20slate%22%2C%22GR%20bread%20street%20white%22%2C%22GR%20knives%22%2C%22GR%20Maze%20blue%22%2C%22GR%20Maze%20dark%20grey%22%2C%22GR%20Maze%20denim%22%2C%22GR%20Maze%20grill%20blue%22%2C%22GR%20Maze%20grill%20white%22%2C%22GR%20Maze%20Light%20grey%22%2C%22GR%20Maze%20taupe%22%2C%22GR%20Maze%20teal%22%2C%22GR%20Maze%20White%22%2C%22GR%20Union%20street%20cream%22%2C%22GR%20Union%20street%20grey%22%2C%22GR%20Union%20street%20teal%22%2C%22GR%20Outlet%22)&numberOfResults=28,https://www.royaldoulton.com/-/media/royaldoulton/images/50-50-component/2023/gordon-ramsay/intro_to_gordon_maze_denim.jpg?q=100&iw=1010&ih=568&crop=1
8,6,"NBA, WWE & Celebrity TV Hosts",Celebrity TV Host Products,Family Feud Game,https://www.amazon.com/family-feud-game/s?k=family+feud+game,https://m.media-amazon.com/images/I/91EYnxM7UIL._AC_UL480_FMwebp_QL65_.jpg
8,7,Talk Show Hosts & Hollywood Actors,Hollywood Star Merchandise,Charlize Theron Film Collection,https://www.amazon.com/Blu-ray-Charlize-Theron-Movies-TV/s?rh=n%3A2901953011%2Cp_lbr_actors_browse-bin%3ACharlize+Theron,https://m.media-amazon.com/images/I/91ZEcG4-qSL._AC_UY327_FMwebp_QL65_.jpg
8,7,Talk Show Hosts & Hollywood Actors,Hollywood Star Merchandise,Jessica Chastain Signature Apparel,https://us.vestiairecollective.com/c/us-jessica-chastain-closet-sale-shop-the-look-11373/,"https://images.vestiairecollective.com/images/resized/w=375,q=75,f=auto,/produit/blue-synthetic-balenciaga-dress-37071346-1.jpg"
8,7,Talk Show Hosts & Hollywood Actors,Hollywood Star Merchandise,Jennifer Aniston Friends Memorabilia,https://www.hollywoodmemorabilia.com/en/jennifer-aniston/a-2316580916+z-935702-3481594928,https://images.footballfanatics.com/2003-jennifer-aniston-bazaar-magazine-no-label-scarce-/-vintage_ss1_p-100915720+u-whamkjuatrvjlvfeklyv+v-awyvqrqvjzopuyghtucp.jpg?_hv=2&w=340
8,7,Talk Show Hosts & Hollywood Actors,TV Show Experiences & Merchandise,TV Show Tickets in New York City,https://www.tvtaping.com/tickets,https://dxan6czxprkid.cloudfront.net/images/_x300/pyramid-featured-1024x768.jpg
8,7,Talk Show Hosts & Hollywood Actors,TV Show Experiences & Merchandise,Sarah Silverman Political Comedy Specials,https://www.amazon.com/s?k=Sarah+Silverman+Political+Comedy+Specials&crid=38JQSL1LR5X4K&sprefix=charlize+theron%2Caps%2C1248&ref=nb_sb_noss_1,https://m.media-amazon.com/images/I/A1qp4KDeJ4L._AC_UY327_FMwebp_QL65_.jpg
8,7,Talk Show Hosts & Hollywood Actors,TV Show Experiences & Merchandise,Phillip Schofield Autobiography Bundle,https://www.ebay.co.uk/itm/294579864501,https://i.ebayimg.com/images/g/ZdsAAOSw68Nhn9Y3/s-l1600.webp
8,7,Talk Show Hosts & Hollywood Actors,Celebrity Lifestyle & Fan Engagement,Jennifer Lawrence Beauty Collection,https://stealherstyle.net/jennifer-lawrence/?post_type=makeup,https://stealherstyle.net/wp-content/uploads/2018/03/jennifer-lawrence-makeup-35.jpg
8,7,Talk Show Hosts & Hollywood Actors,Celebrity Lifestyle & Fan Engagement,Hollywood Celebrity Meet & Greet Events,https://www.eventbrite.com/d/ca--los-angeles/celebrity-meet-and-greet/,https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F855814139%2F493314977439%2F1%2Foriginal.20240921-013804?crop=focalpoint&fit=crop&h=230&w=460&auto=format%2Ccompress&q=75&sharp=10&fp-x=0.0208333333333&fp-y=0.481412639405&s=c335bbef51e26e7875ce2baf27b0e139
8,7,Talk Show Hosts & Hollywood Actors,Celebrity Lifestyle & Fan Engagement,Jessica Chastain Film Memorabilia,https://www.hollywoodmemorabilia.com/en/jessica-chastain/a-4629636769+z-946355-3963235140,https://images.footballfanatics.com/jessica-chastain-sign-autographed-11x14-photo-sexy-playing-with-hair-jsa-al29674_ss1_p-201112736+u-ihwnneibayocbpqhvegs+v-unixbyersvxhjwyobsrj.jpg?_hv=2&w=340
8,8,Bollywood & Cricket,Bollywood DVDs and Blu-rays,Shah Rukh Khan and Salman Khan Films,https://www.amazon.com/King-Shahrukh-Bollywood-English-Subtitles/dp/B004F0LEMO,https://m.media-amazon.com/images/I/81e-QoGIreL._SY445_.jpg
8,8,Bollywood & Cricket,Bollywood DVDs and Blu-rays,Blockbuster Bollywood: Top 10 Movies Collection,https://www.amazon.com/Movies-Bollywood-Blu-ray/s?rh=n%3A2901954011%2Cp_n_theme_browse-bin%3A7661505011,https://m.media-amazon.com/images/I/91+l7t13-XL._AC_UY327_FMwebp_QL65_.jpg
8,8,Bollywood & Cricket,Bollywood DVDs and Blu-rays,Cricket and Cinema: Bollywood Films About the Favorite Sport of India,https://www.cricketvideo.com/index.php?cPath=22,"https://m.media-amazon.com/images/I/51f075mfuAL._AC_UF894,1000_QL80_.jpg"
8,8,Bollywood & Cricket,Event Tickets,Bollywood Movie Premiere Night Experience,https://www.premiertickets.co/event/bollywood-trivia-night-at-tamasha/,https://www.premiertickets.co/assets/uploads/2024/09/Bollywood-trivia.jpg
8,8,Bollywood & Cricket,Event Tickets,Live in Concert: Bollywood Stars Tour,https://events.sulekha.com/bollywood-event-tickets,https://az827626.vo.msecnd.net/cdn/events/images/2024-09-16-03-50-42-790_69.webp
8,8,Bollywood & Cricket,Event Tickets,Cricket World Cup Final: VIP Seats,https://www.seatunique.com/sport-tickets/cricket,"https://res.cloudinary.com/dw36awwm5/image/upload/q_70/w_1920,h_500,c_fill,g_auto,f_auto,f_avif/v1695634928/t8er2pyccm1vobzgtydl"
8,8,Bollywood & Cricket,Cricket Gear,Cricket Batting Gloves,https://www.prodirectsport.com/cricket/l/adults/departments-protection/activity-cricket/type-gloves/bestfor-batting/,https://images.prodirectsport.com/ProductImages/Main/233507_Main_Thumb_0921135.jpg
8,8,Bollywood & Cricket,Cricket Gear,Cricket Bat,https://www.amazon.com/Cricket-Bats/b?node=3403051,https://m.media-amazon.com/images/I/71f0YCwN3sL._AC_UL480_FMwebp_QL65_.jpg
8,8,Bollywood & Cricket,Cricket Gear,Cricket Leg Pads,https://cricketdirect.co.uk/collections/batting-pads,https://cricketdirect.co.uk/cdn/shop/products/3C24411-Aura-Pro_87b6f605-2e6c-49fe-9e66-3c7914879308_600x.jpg?v=1698752046
